Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
10,Al Badayer Retreat by Sharjah Collection,Sharjah,United Arab Emirates,Western Asia,Asia,Sharjah,Wonderful,9.1,1606.0,0.1,5,https://www.booking.com/hotel/ae/al-badayer-retreat.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArHb67AGwAIB0gIkYjdmMTY2NjktNjM0NS00OWMzLTk0ZGUtNzNjNzIxNGJjMzJj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=199f91587dc0025e&srepoch=1713040819&all_sr_blocks=543410005_390493410_2_34_0&highlighted_blocks=543410005_390493410_2_34_0&matching_block_id=543410005_390493410_2_34_0&sr_pri_blocks=543410005_390493410_2_34_0__62750&from=searchresults#hotelTmpl,9.7,9.1,9.4,9.4,8.7,9.0
11,Al Falaj Hotel,Muscat,Oman,Western Asia,Asia,Muscat,Very Good,8.2,1391.0,16.0,3,https://www.booking.com/hotel/om/al-falaj.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtTb67AGwAIB0gIkZjQ0ODE5ODctMTIyOC00OGNjLTk0OWYtNzVhMmU4YTExMTJk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4cd1916a13fd003c&srepoch=1713040854&all_sr_blocks=7437933_266111438_2_42_0&highlighted_blocks=7437933_266111438_2_42_0&matching_block_id=7437933_266111438_2_42_0&sr_pri_blocks=7437933_266111438_2_42_0__2355&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.5,8.7,8.7,8.5,8.1
12,Al Liwan Suites,Doha,Qatar,Western Asia,Asia,Doha,Good,7.8,1847.0,1.9,4,https://www.booking.com/hotel/qa/al-liwan-suites.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuXb67AGwAIB0gIkNmRiNjUxODktYTI1NS00MjUwLTkwZGUtYmRiMGYyNzIwZGIy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=4fac9172942f00e1&srepoch=1713040871&all_sr_blocks=7143234_391032046_2_2_0&highlighted_blocks=7143234_391032046_2_2_0&matching_block_id=7143234_391032046_2_2_0&sr_pri_blocks=7143234_391032046_2_2_0__25000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,7.9,8.1,8.1,7.9,7.5
13,Al Maha Regency Hotel Suites - Managed by Aoudi Consultants,Sharjah,United Arab Emirates,Western Asia,Asia,Sharjah,Review score,6.6,3655.0,1.6,3,https://www.booking.com/hotel/ae/al-maha-regency-suites.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArHb67AGwAIB0gIkYjdmMTY2NjktNjM0NS00OWMzLTk0ZGUtNzNjNzIxNGJjMzJj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=199f91587dc0025e&srepoch=1713040819&all_sr_blocks=6750641_330100155_2_42_0&highlighted_blocks=6750641_330100155_2_42_0&matching_block_id=6750641_330100155_2_42_0&sr_pri_blocks=6750641_330100155_2_42_0__19404&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,7.7,6.8,7.0,7.0,7.3,7.6
14,Al Murooj Hotel Apartments,Muscat,Oman,Western Asia,Asia,Muscat,Review score,6.9,745.0,1.0,3,https://www.booking.com/hotel/om/al-murooj-apartments.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtTb67AGwAIB0gIkZjQ0ODE5ODctMTIyOC00OGNjLTk0OWYtNzVhMmU4YTExMTJk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=4cd1916a13fd003c&srepoch=1713040854&all_sr_blocks=26395504_226074804_2_0_0&highlighted_blocks=26395504_226074804_2_0_0&matching_block_id=26395504_226074804_2_0_0&sr_pri_blocks=26395504_226074804_2_0_0__1260&from=searchresults#hotelTmpl,8.1,6.9,7.1,7.1,7.4,7.9
15,Alican 2,Izmir,Turkey,Western Asia,Asia,"Konak, İzmir",Review score,6.7,273.0,0.9,2,https://www.booking.com/hotel/tr/alican-2.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApXb67AGwAIB0gIkYThjYjg4YjctMTIwNC00OGJkLWIzMWQtZmMwZGNiM2ViZWMx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=4d3d914ac1080200&srepoch=1713040790&all_sr_blocks=200691003_200252322_1_1_0&highlighted_blocks=200691003_200252322_1_1_0&matching_block_id=200691003_200252322_1_1_0&sr_pri_blocks=200691003_200252322_1_1_0__3300&from=searchresults#hotelTmpl,7.900000000000001,6.8,6.7,6.7,7.5,8.0
16,Alinea Suites Limassol Center,Limassol,Cyprus,Western Asia,Asia,Limassol,Wonderful,9.3,817.0,0.5,4,https://www.booking.com/hotel/cy/alinea-suites-limassol-center.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As3b67AGwAIB0gIkZDE5ZmMzZjUtNWJiMy00Nzc5LWE5YTAtYThkN2RhZDIzNDg42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=cf5b916672bb004c&srepoch=1713040846&all_sr_blocks=524470501_383610655_1_2_0&highlighted_blocks=524470501_383610655_1_2_0&matching_block_id=524470501_383610655_1_2_0&sr_pri_blocks=524470501_383610655_1_2_0__17500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,9.3,9.6,9.6,8.9,9.0
17,Alinea Urban Saripolou Square,Limassol,Cyprus,Western Asia,Asia,Limassol,Wonderful,9.1,248.0,0.3,4,https://www.booking.com/hotel/cy/alinea-urban-saripolou-square.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As3b67AGwAIB0gIkZDE5ZmMzZjUtNWJiMy00Nzc5LWE5YTAtYThkN2RhZDIzNDg42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=cf5b916672bb004c&srepoch=1713040846&all_sr_blocks=742744001_383610662_1_2_0&highlighted_blocks=742744001_383610662_1_2_0&matching_block_id=742744001_383610662_1_2_0&sr_pri_blocks=742744001_383610662_1_2_0__17500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,9.2,9.5,9.6,8.9,9.4
18,Almog Haifa Israel Apartments מגדלי חוף הכרמל,Haifa,Israel,Western Asia,Asia,Haifa,Good,7.9,531.0,4.2,3,https://www.booking.com/hotel/il/almog-beach.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atvb67AGwAIB0gIkZDIzOWU0NmUtZjI5Ni00N2EwLWFiYzUtMDJhZGUzNjMzNGJi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=db05916dcd42003e&srepoch=1713040861&all_sr_blocks=258564201_377477560_2_0_0&highlighted_blocks=258564201_377477560_2_0_0&matching_block_id=258564201_377477560_2_0_0&sr_pri_blocks=258564201_377477560_2_0_0__53100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.2,7.8,8.2,8.2,7.7,9.2
19,Aloft Bursa Hotel,Bursa,Turkey,Western Asia,Asia,Bursa,Excellent,8.7,1004.0,6.1,3,https://www.booking.com/hotel/tr/aloft-bursa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqHb67AGwAIB0gIkYTkwYTZmMGQtMTQ2Ni00YmVjLTg3ZjQtODdhNjVmMzcxYjI42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=894f9150e9090029&srepoch=1713040803&all_sr_blocks=49456704_246431654_1_2_0&highlighted_blocks=49456704_246431654_1_2_0&matching_block_id=49456704_246431654_1_2_0&sr_pri_blocks=49456704_246431654_1_2_0__7840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,8.6,8.8,9.0,8.6,9.5
