Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
10,Atlantic Hotel Agadir,Agadir,Morocco,Northern Africa,Africa,Agadir,Very Good,8.1,1444.0,1.6,4,https://www.booking.com/hotel/ma/atlantic-agadir.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviU67AGwAIB0gIkOTU4MTNiMjUtYTEyNy00MTIxLTlkZjgtMTQzZDRhYzRkMTQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=34447fbc93b90048&srepoch=1713031802&all_sr_blocks=30912702_94877433_0_41_0&highlighted_blocks=30912702_94877433_0_41_0&matching_block_id=30912702_94877433_0_41_0&sr_pri_blocks=30912702_94877433_0_41_0__16490&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.2,8.8,8.7,8.2,8.1
11,Bab Hotel,Marrakech,Morocco,Northern Africa,Africa,"Gueliz, Marrakesh",Very Good,8.0,1824.0,1.5,4,https://www.booking.com/hotel/ma/bab-residence.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvWU67AGwAIB0gIkMDkzYjAzZGEtMThhMC00NjU2LTgzOTYtNmRjZjBmN2E3YTJl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c8247fbaca4b0105&srepoch=1713031799&all_sr_blocks=9902402_368854254_1_33_0&highlighted_blocks=9902402_368854254_1_33_0&matching_block_id=9902402_368854254_1_33_0&sr_pri_blocks=9902402_368854254_1_33_0__10366&from=searchresults#hotelTmpl,9.0,8.1,8.4,8.4,8.1,8.7
12,Barceló Anfa Casablanca,Casablanca,Morocco,Northern Africa,Africa,"Sidi Belyout, Casablanca",Excellent,8.6,1342.0,1.2,5,https://www.booking.com/hotel/ma/barcelo-anfa-casablanca.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvuU67AGwAIB0gIkY2IxNWVlM2EtNDc2Ni00Y2QyLTg4YzgtYjQwMGFkYjk1MGQy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b3b77fbdb2120160&srepoch=1713031805&all_sr_blocks=428190922_129111768_2_2_0&highlighted_blocks=428190922_129111768_2_2_0&matching_block_id=428190922_129111768_2_2_0&sr_pri_blocks=428190922_129111768_2_2_0__14080&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,8.9,9.1,9.1,8.3,8.8
13,Barceló Tanger,Tangier,Morocco,Northern Africa,Africa,"Municipal Beach, Tangier",Very Good,8.5,2183.0,1.4,5,https://www.booking.com/hotel/ma/almohades-city-center-tanger.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoCV67AGwAIB0gIkNjk5ZGQwOGQtNjgzNi00YTRlLWIzNzQtZmFjODg2OTc1NTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=06a07fc08d7e0173&srepoch=1713031810&all_sr_blocks=9823021_126696775_1_1_0&highlighted_blocks=9823021_126696775_1_1_0&matching_block_id=9823021_126696775_1_1_0&sr_pri_blocks=9823021_126696775_1_1_0__13590&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.7,9.0,9.1,7.8,9.3
14,Be Live Collection Marrakech Adults Only All inclusive,Marrakech,Morocco,Northern Africa,Africa,"Palmeraie, Marrakesh",Excellent,8.6,1612.0,7.7,5,https://www.booking.com/hotel/ma/be-live-collection-marrakech-adults-only.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvWU67AGwAIB0gIkMDkzYjAzZGEtMThhMC00NjU2LTgzOTYtNmRjZjBmN2E3YTJl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=c8247fbaca4b0105&srepoch=1713031799&all_sr_blocks=234344901_114067497_0_85_0&highlighted_blocks=234344901_114067497_0_85_0&matching_block_id=234344901_114067497_0_85_0&sr_pri_blocks=234344901_114067497_0_85_0__23030&from=searchresults#hotelTmpl,9.1,8.9,9.2,9.2,8.4,8.0
15,Bel appartement proche de l'aéroport,Algiers,Algeria,Northern Africa,Africa,Alger,Very Good,8.5,22.0,13.8,3,https://www.booking.com/hotel/dz/bel-appartement-proche-de-l-aeroport.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoOV67AGwAIB0gIkMzQxZmMyYTAtZWRjYi00MzQ4LThmMWEtNjdhZjBmNjg5ODBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=e0507fc143da0160&srepoch=1713031813&all_sr_blocks=796127301_339757098_10_0_0&highlighted_blocks=796127301_339757098_10_0_0&matching_block_id=796127301_339757098_10_0_0&sr_pri_blocks=796127301_339757098_10_0_0__1440000&from=searchresults#hotelTmpl,9.1,8.5,8.5,8.3,8.6,8.1
16,Belere Hotel Rabat,Rabat,Morocco,Northern Africa,Africa,Rabat,Good,7.3,818.0,0.5,4,https://www.booking.com/hotel/ma/belere-rabat.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Av6U67AGwAIB0gIkNDhkYjBiNDAtODRjZC00NWU0LWExMGQtODFjZWZhZWUzYzdm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=b9717fbff2c10314&srepoch=1713031808&all_sr_blocks=25475315_88803984_0_41_0&highlighted_blocks=25475315_88803984_0_41_0&matching_block_id=25475315_88803984_0_41_0&sr_pri_blocks=25475315_88803984_0_41_0__6680&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.1,7.5,7.8,7.7,7.4,8.5
17,Best Western Plus Casablanca City Center,Casablanca,Morocco,Northern Africa,Africa,"Maarif, Casablanca",Excellent,8.8,1465.0,1.4,4,https://www.booking.com/hotel/ma/business-casablanca.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvuU67AGwAIB0gIkY2IxNWVlM2EtNDc2Ni00Y2QyLTg4YzgtYjQwMGFkYjk1MGQy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b3b77fbdb2120160&srepoch=1713031805&all_sr_blocks=9903813_88806292_1_2_0&highlighted_blocks=9903813_88806292_1_2_0&matching_block_id=9903813_88806292_1_2_0&sr_pri_blocks=9903813_88806292_1_2_0__6326&from=searchresults#hotelTmpl,9.1,8.4,8.6,8.8,8.4,8.5
18,Best Western Plus Mount Vernon - Fort Belvoir,Alexandria,Egypt,Northern Africa,Africa,Alexandria,Very Good,8.3,742.0,11.7,3,https://www.booking.com/hotel/us/best-western-mount-vernon.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoyV67AGwAIB0gIkMmJiNzFjYTktOWJmZi00NDc4LTgyMDgtN2Q5MDljNGM0OGUz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=54a17fc67f8d01bc&srepoch=1713031822&all_sr_blocks=18101704_332363460_4_1_0&highlighted_blocks=18101704_332363460_4_1_0&matching_block_id=18101704_332363460_4_1_0&sr_pri_blocks=18101704_332363460_4_1_0__14577&from=searchresults#hotelTmpl,9.0,8.5,8.6,8.6,8.5,8.5
19,Blue Pyramids Eyes Hotel,Cairo,Egypt,Northern Africa,Africa,"Giza, Cairo",Excellent,8.8,135.0,11.1,3,https://www.booking.com/hotel/eg/blue-eyes-al-haram.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoiV67AGwAIB0gIkZWRjMWEwYzMtZDY4YS00NDcyLTkwZGUtZGQ1YmQ2ZGIwZDAw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=44fb7fc4ffb80228&srepoch=1713031818&all_sr_blocks=1099560305_382817601_0_41_0&highlighted_blocks=1099560305_382817601_0_41_0&matching_block_id=1099560305_382817601_0_41_0&sr_pri_blocks=1099560305_382817601_0_41_0__5299&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.6,9.2,9.1,8.9,8.7
