Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
10,African Kwela Guest House,Windhoek,Namibia,Southern Africa,Africa,Windhoek,Excellent,8.8,464.0,2.3,3,https://www.booking.com/hotel/na/african-kwela-guest-house.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqKV67AGwAIB0gIkOGRiZjJhZDAtYTNjMy00ZjAxLThmYjMtOTBiNmQ2ZTUyMjhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=cc937fd142650436&srepoch=1713031843&all_sr_blocks=250291201_138519803_1_1_0&highlighted_blocks=250291201_138519803_1_1_0&matching_block_id=250291201_138519803_1_1_0&sr_pri_blocks=250291201_138519803_1_1_0__72000&from=searchresults#hotelTmpl,9.5,8.6,9.1,8.8,9.2,8.6
11,Alcazaba Lodges,Johannesburg,South Africa,Southern Africa,Africa,Johannesburg,Very Good,8.0,456.0,2.1,0,https://www.booking.com/hotel/za/alcazaba-lodges-roodepoort.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApeV67AGwAIB0gIkYjhlM2QxMGQtMDM1Ny00ZmEzLTgwOGQtZWM3ODk1MWY5MWIx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=aefd7fcbb5fb00a3&srepoch=1713031833&all_sr_blocks=240814901_288062791_1_2_0&highlighted_blocks=240814901_288062791_1_2_0&matching_block_id=240814901_288062791_1_2_0&sr_pri_blocks=240814901_288062791_1_2_0__72626&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.3,8.7,8.6,8.4,7.5
12,Amery House,Port Elizabeth,South Africa,Southern Africa,Africa,"Summerstrand, Port Elizabeth",Wonderful,9.3,456.0,5.4,4,https://www.booking.com/hotel/za/amery-house.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApuV67AGwAIB0gIkYWQ3MWZhM2EtNmI1MC00YmFmLWIwZGEtNzQyMThjZGE3NTUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=03b37fcdde80004c&srepoch=1713031837&all_sr_blocks=428664307_350207465_1_1_0&highlighted_blocks=428664307_350207465_1_1_0&matching_block_id=428664307_350207465_1_1_0&sr_pri_blocks=428664307_350207465_1_1_0__125000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.5,9.5,9.6,9.6,9.5,9.2
13,Amoris Guesthouse - In Brooklyn,Pretoria,South Africa,Southern Africa,Africa,"Brooklyn, Pretoria",Review score,6.8,215.0,4.7,3,https://www.booking.com/hotel/za/amoris-lodge-brooklyn.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ap6V67AGwAIB0gIkZmI4YjAzYzAtOTMwOC00ZTMyLWJmZmYtZGYxNzA0NjE4MDY42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=af2b7fcfe7cd02ca&srepoch=1713031840&all_sr_blocks=1126289601_385287871_2_0_0&highlighted_blocks=1126289601_385287871_2_0_0&matching_block_id=1126289601_385287871_2_0_0&sr_pri_blocks=1126289601_385287871_2_0_0__70000&from=searchresults#hotelTmpl,8.2,7.2,7.5,7.7,7.4,8.4
14,Anchor's Rest Guesthouse and Self Catering,Durban,South Africa,Southern Africa,Africa,"Umhlanga, Durban",Wonderful,9.1,613.0,15.0,4,https://www.booking.com/hotel/za/anchors-rest-guest-house-and-self-catering.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApSV67AGwAIB0gIkMWNjYzBhYzQtOTA0Ni00MzU3LTg0OTMtMWExNTVkYWFjOGQx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=3e797fca4ca60047&srepoch=1713031829&all_sr_blocks=40328906_257877668_1_1_0&highlighted_blocks=40328906_257877668_1_1_0&matching_block_id=40328906_257877668_1_1_0&sr_pri_blocks=40328906_257877668_1_1_0__128500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.5,9.4,9.6,9.5,9.3,9.6
15,Arebbusch Travel Lodge,Windhoek,Namibia,Southern Africa,Africa,Windhoek,Very Good,8.5,2520.0,4.2,0,https://www.booking.com/hotel/na/arebbusch-travel-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqKV67AGwAIB0gIkOGRiZjJhZDAtYTNjMy00ZjAxLThmYjMtOTBiNmQ2ZTUyMjhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cc937fd142650436&srepoch=1713031843&all_sr_blocks=42151225_113888126_1_2_0&highlighted_blocks=42151225_113888126_1_2_0&matching_block_id=42151225_113888126_1_2_0&sr_pri_blocks=42151225_113888126_1_2_0__108720&from=searchresults#hotelTmpl,8.8,8.8,9.0,8.9,8.8,8.7
16,Atlantic Bay Lodge,Cape Town,South Africa,Southern Africa,Africa,"Milnerton, Cape Town",Good,7.5,136.0,10.1,4,https://www.booking.com/hotel/za/sunset-glow-inn.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApCV67AGwAIB0gIkZWFhYmE5ZGItNjIzMi00YTYyLTk1OGMtMGQ1ZjdlYjM5YmJk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=005c7fc872c7020e&srepoch=1713031826&all_sr_blocks=326126907_362164798_1_42_0&highlighted_blocks=326126907_362164798_1_42_0&matching_block_id=326126907_362164798_1_42_0&sr_pri_blocks=326126907_362164798_1_42_0__143800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.0,8.2,8.2,7.8,8.6
17,Atlanticview Cape Town Boutique Hotel,Cape Town,South Africa,Southern Africa,Africa,"Camps Bay, Cape Town",Wonderful,9.1,235.0,5.0,5,https://www.booking.com/hotel/za/atlanticview-cape-town-boutique.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApCV67AGwAIB0gIkZWFhYmE5ZGItNjIzMi00YTYyLTk1OGMtMGQ1ZjdlYjM5YmJk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=005c7fc872c7020e&srepoch=1713031826&all_sr_blocks=131275108_91660372_2_41_0&highlighted_blocks=131275108_91660372_2_41_0&matching_block_id=131275108_91660372_2_41_0&sr_pri_blocks=131275108_91660372_2_41_0__1018757&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,9.2,9.5,9.5,8.6,9.4
18,Avani Windhoek Hotel & Casino,Windhoek,Namibia,Southern Africa,Africa,Windhoek,Very Good,8.2,523.0,0.8,4,https://www.booking.com/hotel/na/kalahari-sands-amp-casino.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqKV67AGwAIB0gIkOGRiZjJhZDAtYTNjMy00ZjAxLThmYjMtOTBiNmQ2ZTUyMjhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cc937fd142650436&srepoch=1713031843&all_sr_blocks=55111701_363690872_0_42_0&highlighted_blocks=55111701_363690872_0_42_0&matching_block_id=55111701_363690872_0_42_0&sr_pri_blocks=55111701_363690872_0_42_0__170060&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.4,8.8,8.8,8.1,9.2
19,Bayside Hotel & Self Catering 110 West Street,Durban,South Africa,Southern Africa,Africa,"Durban City Center, Durban",Very Good,8.1,2576.0,1.2,2,https://www.booking.com/hotel/za/bayside-self-catering-110.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApSV67AGwAIB0gIkMWNjYzBhYzQtOTA0Ni00MzU3LTg0OTMtMWExNTVkYWFjOGQx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3e797fca4ca60047&srepoch=1713031829&all_sr_blocks=297156806_110123116_0_0_0&highlighted_blocks=297156806_110123116_0_0_0&matching_block_id=297156806_110123116_0_0_0&sr_pri_blocks=297156806_110123116_0_0_0__80550&from=searchresults#hotelTmpl,8.6,8.1,8.7,8.5,8.4,8.3
