Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
10,Airport Gateway Motor Lodge,Christchurch,New Zealand,Oceania,Oceania,"Burnside, Christchurch",Very Good,8.5,3573.0,7.1,5,https://www.booking.com/hotel/nz/airport-gateway-motor-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuXf67AGwAIB0gIkODA2MGRmZmQtZmZiMS00OTZkLWI5MWUtNjYxMWIwMmJjYjVm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6849927255ba0266&srepoch=1713041383&all_sr_blocks=28808701_265722184_0_0_0&highlighted_blocks=28808701_265722184_0_0_0&matching_block_id=28808701_265722184_0_0_0&sr_pri_blocks=28808701_265722184_0_0_0__18308&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,8.6,9.0,9.0,8.7,9.3
11,Airport Riverview Motel,Brisbane,Australia,Oceania,Oceania,"Hamilton, Brisbane",Good,7.5,1499.0,5.3,3,https://www.booking.com/hotel/au/riverview-motel-brisbane.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atzf67AGwAIB0gIkOTYzMTY5OTgtNGI1Zi00NTkxLThlMDQtZTBhMGJlMjAwYzM22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6771926ef7ef008e&srepoch=1713041374&all_sr_blocks=106804601_335369279_1_0_0&highlighted_blocks=106804601_335369279_1_0_0&matching_block_id=106804601_335369279_1_0_0&sr_pri_blocks=106804601_335369279_1_0_0__12800&from=searchresults#hotelTmpl,8.8,7.5,8.1,8.1,8.2,8.8
12,Alex Hotel,Perth,Australia,Oceania,Oceania,"Perth Central Business District, Perth",Excellent,8.7,1818.0,0.3,4,https://www.booking.com/hotel/au/alex.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atrf67AGwAIB0gIkODIyMTNiMmMtMmUwMS00NzRmLWJkOGYtM2U0MTMyZjJmNmU12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=95ff926c3ffb0185&srepoch=1713041371&all_sr_blocks=141833201_361067282_0_1_0&highlighted_blocks=141833201_361067282_0_1_0&matching_block_id=141833201_361067282_0_1_0&sr_pri_blocks=141833201_361067282_0_1_0__25650&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,8.8,9.2,9.3,8.4,9.5
13,Amora Hotel Brisbane,Brisbane,Australia,Oceania,Oceania,"Spring Hill, Brisbane",Very Good,8.4,4928.0,0.8,5,https://www.booking.com/hotel/au/brisbane.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atzf67AGwAIB0gIkOTYzMTY5OTgtNGI1Zi00NTkxLThlMDQtZTBhMGJlMjAwYzM22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6771926ef7ef008e&srepoch=1713041374&all_sr_blocks=3585217_346726532_0_2_0&highlighted_blocks=3585217_346726532_0_2_0&matching_block_id=3585217_346726532_0_2_0&sr_pri_blocks=3585217_346726532_0_2_0__31900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.4,8.9,8.9,8.4,8.9
14,Arena Motel,Christchurch,New Zealand,Oceania,Oceania,"Addington, Christchurch",Good,7.6,961.0,2.7,4,https://www.booking.com/hotel/nz/arena-motel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuXf67AGwAIB0gIkODA2MGRmZmQtZmZiMS00OTZkLWI5MWUtNjYxMWIwMmJjYjVm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=6849927255ba0266&srepoch=1713041383&all_sr_blocks=4324304_277230100_2_2_0&highlighted_blocks=4324304_277230100_2_2_0&matching_block_id=4324304_277230100_2_2_0&sr_pri_blocks=4324304_277230100_2_2_0__17045&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,7.7,8.2,8.2,8.3,8.9
15,Atura Adelaide Airport,Adelaide,Australia,Oceania,Oceania,Adelaide,Excellent,8.7,4885.0,6.4,4,https://www.booking.com/hotel/au/atura-adelaide-airport.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtTf67AGwAIB0gIkM2U4NzIzZmItMGM4Mi00ODQ0LWE4ZjMtN2IwNDk1MDY3MTEw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=84c9926a42a30276&srepoch=1713041366&all_sr_blocks=366046901_148883334_2_2_0&highlighted_blocks=366046901_148883334_2_2_0&matching_block_id=366046901_148883334_2_2_0&sr_pri_blocks=366046901_148883334_2_2_0__26000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,8.9,9.2,9.2,8.0,9.6
16,Atura Wellington,Wellington,New Zealand,Oceania,Oceania,Wellington,Good,7.7,3460.0,1.5,4,https://www.booking.com/hotel/nz/thorndon-wellington.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aujf67AGwAIB0gIkM2IxYmUyYTktYWE2MS00MjU2LTg0MTQtNTE2NDY5MTgyYTU52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=a4979273919d0101&srepoch=1713041385&all_sr_blocks=4324909_280807731_2_2_0&highlighted_blocks=4324909_280807731_2_2_0&matching_block_id=4324909_280807731_2_2_0&sr_pri_blocks=4324909_280807731_2_2_0__21500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,7.8,8.2,8.1,7.9,8.6
17,Base Camp Hostel,Adelaide,Australia,Oceania,Oceania,"Adelaide Central Business District, Adelaide",Very Good,8.1,44.0,0.9,4,https://www.booking.com/hotel/au/base-camp-hostel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtTf67AGwAIB0gIkM2U4NzIzZmItMGM4Mi00ODQ0LWE4ZjMtN2IwNDk1MDY3MTEw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=84c9926a42a30276&srepoch=1713041366&all_sr_blocks=1113045213_384242125_0_17_0&highlighted_blocks=1113045213_384242125_0_17_0&matching_block_id=1113045213_384242125_0_17_0&sr_pri_blocks=1113045213_384242125_0_17_0__6529&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.5,8.7,8.7,8.6,8.6
18,Brisbane Quarters,Brisbane,Australia,Oceania,Oceania,"Spring Hill, Brisbane",Very Good,8.1,2596.0,0.7,0,https://www.booking.com/hotel/au/brisbane-quarters.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atzf67AGwAIB0gIkOTYzMTY5OTgtNGI1Zi00NTkxLThlMDQtZTBhMGJlMjAwYzM22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=6771926ef7ef008e&srepoch=1713041374&all_sr_blocks=580556321_232255789_1_1_0&highlighted_blocks=580556321_232255789_1_1_0&matching_block_id=580556321_232255789_1_1_0&sr_pri_blocks=580556321_232255789_1_1_0__7200&from=searchresults#hotelTmpl,9.0,8.4,8.2,8.2,8.2,9.1
19,Camelot Motor Lodge,Christchurch,New Zealand,Oceania,Oceania,"Merivale, Christchurch",Very Good,8.0,2447.0,1.5,4,https://www.booking.com/hotel/nz/camelot-motor-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuXf67AGwAIB0gIkODA2MGRmZmQtZmZiMS00OTZkLWI5MWUtNjYxMWIwMmJjYjVm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=6849927255ba0266&srepoch=1713041383&all_sr_blocks=25114603_91915029_3_0_0&highlighted_blocks=25114603_91915029_3_0_0&matching_block_id=25114603_91915029_3_0_0&sr_pri_blocks=25114603_91915029_3_0_0__19141&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,8.0,8.4,8.4,8.6,9.1
