Value_for_money_rating,Facilities_rating,Breakfast,Room Type,Guests nb,Staff_rating,Distance from center,Score,Cleanliness_rating,Cancellation,Comfort_rating,Price,NbReviews,Location_rating,Stars,env_vars
0.1924565934045291,0.08647958039671631,-0.004260423563477188,0.022168430120833044,-0.22723491648195468,0.18551104239076888,-0.2513306997701116,0.15237967460826735,0.12734143619345484,-0.0684128555975513,0.08432480105550333,-0.07951242629931374,0.28747196894040306,0.148133099770509,0.003378904664898938,Continent
0.07997770930536241,0.002375549781996622,0.010368343889046358,0.0417345767116331,-0.21101884749369546,0.13486450906104347,-0.30585293678808667,0.057752299209354124,0.06904953979219591,-0.10886425792074611,0.019576804271757283,-0.082709764261607,0.30384319150328887,0.10821709736655392,-0.04187527250157737,Gasoline (1 liter)
0.07330077709083992,0.05661158713949727,0.06331254155966858,0.042072687910121156,-0.10366381702305809,0.13975318829238606,-0.21649990892584792,0.09002010845960787,0.09978597413166894,-0.11960584308494178,0.06454256836638553,0.006001539560317715,0.33106832137975656,0.16301444372350715,-0.051205220651819004,1 Pair of Jeans (Levis 501 Or Similar)
0.06991955924197314,0.06481066802292473,0.06108393090252926,0.03371424619415787,-0.007371961203558644,0.1044269948048877,-0.17009596235171287,0.08047290292282713,0.09381281285430314,-0.07400182023178647,0.06330651193684811,0.017945059825333804,0.20993109475761912,0.11541517451796948,-0.06362329723013567,med_age
0.057615720913724314,0.048881677645352825,-0.01828258781721183,0.009101008009151673,0.011109930661516288,0.025978485390684123,-0.04529452388579532,0.05905103672395338,0.05780478907888605,0.003952829827504874,0.05031793014045699,-0.004857629287402298,0.0036778488960364855,0.04468477911978655,-0.007866526940564651,City
0.04895695586181948,0.00042855648084382035,-0.06486594157760348,-0.026015539785276036,0.020267460599117645,0.0033416902090433057,0.04128542512782756,0.02017747237565631,-0.02057737442096916,0.04729024540773848,-0.006200779498865847,-0.05710602027321663,-0.16265798316412677,-0.005010194159498192,-0.03457414883113316,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0.034920359395628084,-0.01192644155636501,0.0001578615531593703,-0.001870771574452423,-0.13978894793854085,0.05746456939751289,-0.04399431331909395,0.01701688041807789,0.01118270445423283,-0.020186192146998367,-0.007860847787165113,0.004426938108618786,0.11487491977932465,-0.020798049682977757,0.005307957359267068,Region
0.0008862910761457072,0.043022899076630365,0.06370938869490447,0.010385527542247025,0.02193073912214023,0.04977067134185936,-0.03300330287086255,0.021917770064734273,0.04421999904838079,-0.04139514542262161,0.04287023568077882,0.06063070458166902,0.05917784651503926,0.06573224518303225,0.025133955402255888,Tourism_year
-0.03159864426196221,0.00864531220385844,0.07268171858552609,0.0010095682099817258,-0.016839588858397515,0.029129324720456127,-0.015318902557955674,0.0033951600250320896,0.022605730512946436,-0.013351960271829322,0.03547850814709021,0.10967194550322813,0.051407331311429265,0.03547282053499043,0.10323954450013823,"Milk (regular), (1 liter)"
-0.044477873923874034,-0.05034733683197536,-0.05411537222271425,-0.006443409324337657,-0.012302948016921174,-0.05334652731103791,0.06149508910051331,-0.056501004026245825,-0.0640585602852382,0.02648752132417564,-0.047822297431180626,-0.02898219385860824,-0.14185695767746107,-0.08027591993980018,-0.021422323723485487,fert_rate
-0.04549088376436933,-0.015844698411548785,0.004765380665280743,-0.006658009277765304,0.0208566483863765,-0.03266184677862259,0.04796668390897478,-0.02837901804594407,-0.01547197276806076,-0.03573907218280439,-0.014080001976564909,0.02199347985482773,0.007905349701646013,-0.0259835411100876,0.04634796651673347,Yearly Change
-0.05622226741348764,0.01699828273254915,0.06569445437361089,-0.016604847700867773,0.16994081994835125,-0.045671936534749526,0.05851910232165384,-0.009396716034455679,0.010512726728103359,-0.017989515948712044,0.011490133987021693,0.051161559831751094,-0.01955911433969294,-0.003666786526657428,-0.04738419033911277,Tourism
-0.06205784707287483,-0.048039728368059705,0.004906018429401198,0.014216858150972182,-0.07055293647247435,0.007228312098470493,-0.11236004409233946,-0.03368096709038571,-0.03561292391477952,-0.08244467517174532,-0.050494486405458526,-0.023759753535638882,0.11557548610639186,0.029105221693085454,-0.05639593232013454,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car)
-0.06345501040953527,-0.025653145837924125,-0.030236746847723282,0.00528014155452454,0.0514390526773314,-0.043418367342504344,-0.025917792901877738,-0.03315667751225541,-0.022365931083479586,0.07688107797194232,-0.012403868044226182,-0.015993455700956453,-0.1012470208094368,-0.025649911419386405,-0.04414934680879186,density
-0.06354952416088246,-0.0024285866273735016,0.10209395318960013,0.03451533344105271,0.09077133245510023,0.01679113465181502,-0.06561302024864316,-0.01670016931912296,0.015608682791497084,-0.0882860763293666,0.008108686943871953,0.0756800337524319,0.17526517775371572,0.1049603464762934,-0.08234931969656335,1 Pair of Men Leather Business Shoes
-0.06396226182528032,0.008671064488067749,0.10627957365051026,0.026556700325423906,0.08386243883547491,0.037080683298424684,-0.03361280874523751,-0.002901743865486318,0.019285150029076537,-0.08319747906600206,0.023533682302617383,0.10717257299894625,0.11921637304236572,0.079377630952657,-0.05200513485644918,1 Pair of Nike Running Shoes (Mid-Range)
-0.06689980246302556,0.03478248525721462,0.1528441709669408,0.01926424705891908,0.0455924090607755,0.05042308841754337,-0.06593594834876719,0.02405180067286049,0.046359402024096025,-0.049334916671994564,0.05060676185867741,0.1268845899638874,0.09574122374795706,0.09233070498578928,-0.0017806732568016077,Banana (1kg)
